assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,0,0,0,0.0,99,104,0,0,0.0,0.0,2021-11-06T15:00:00Z,0,6,0,0,0,0,11,0,59702,1,1,0.0,0,-2038,1857,3895,39,False,0,Burnley,Chelsea,2,5,1,6.041666666666668,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,0,0.0,99,112,0,0,0.0,0.0,2021-11-20T15:00:00Z,0,7,0,0,0,0,12,0,59005,3,3,0.0,0,-1309,1345,2654,39,True,0,Burnley,Crystal Palace,2,2,1,5.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,0,0.0,99,137,0,0,0.0,0.0,2021-12-01T19:30:00Z,0,20,0,0,0,0,14,0,57538,0,0,0.0,0,-577,576,1153,39,False,0,Burnley,Wolves,2,4,1,5.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,0,0.0,99,145,0,0,0.0,0.0,2021-12-04T15:00:00Z,0,14,0,0,0,0,15,0,55734,0,1,0.0,0,-1825,656,2481,39,False,0,Burnley,Newcastle,2,2,1,2.8125,0,0.0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1
0,0,0,0,0.0,99,154,0,0,0.0,0.0,2021-12-12T14:00:00Z,0,19,0,0,0,0,16,0,53099,0,0,0.0,0,-2525,142,2667,39,True,0,Burnley,West Ham,2,3,1,7.958333333333332,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
0,0,0,0,0.0,99,198,0,0,0.0,0.0,2021-12-30T20:15:00Z,0,13,0,0,0,0,20,0,52308,1,3,0.0,0,-92,419,511,39,False,0,Burnley,Man Utd,2,4,1,5.0,0,0.0,-2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1
0,0,0,0,0.0,99,206,0,0,0.0,0.0,2022-01-02T14:00:00Z,0,10,0,0,0,0,21,0,52076,1,3,0.0,0,-156,845,1001,39,False,0,Burnley,Leeds,2,2,1,6.739583333333332,0,0.0,-2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1
0,0,0,0,0.0,99,221,0,0,0.0,0.0,2022-01-23T14:00:00Z,0,1,0,0,0,0,23,0,51010,0,0,0.0,0,-409,406,815,39,False,0,Burnley,Arsenal,2,4,1,5.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
0,0,0,0,0.0,99,164,0,0,0.0,0.0,2022-02-05T18:00:00Z,0,18,0,0,0,0,23,0,51010,0,0,0.0,0,-409,406,815,39,True,0,Burnley,Watford,2,2,1,5.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
0,0,0,0,0.0,99,233,0,0,0.0,0.0,2022-02-08T20:00:00Z,0,13,0,0,0,0,24,0,51013,1,1,0.0,0,-200,687,887,39,True,0,Burnley,Man Utd,2,3,1,3.083333333333333,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1
0,0,0,0,0.0,99,242,0,0,0.0,0.0,2022-02-13T14:00:00Z,0,11,0,0,0,0,25,0,50595,1,0,0.0,0,-457,335,792,39,True,0,Burnley,Liverpool,2,4,1,4.75,0,0.0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1
